Date,Open,High,Low,Close,Volume,Adj Close
2008-05-06,10.19,10.35,9.90,10.02,5221200,10.02
2008-05-05,10.59,10.59,10.10,10.12,5816100,10.12
2008-05-02,10.49,10.68,10.10,10.60,5069000,10.60
2008-05-01,10.23,10.54,10.15,10.35,4793300,10.35
2008-04-30,10.67,10.68,10.04,10.21,3689600,10.21
2008-04-29,10.60,10.79,10.50,10.59,4344600,10.59
2008-04-28,10.56,11.17,10.51,10.60,6569700,10.60
2008-04-25,10.41,10.79,10.16,10.50,6898100,10.50
2008-04-24,9.80,10.40,9.58,10.40,9247900,10.40
2008-04-23,9.90,9.94,9.53,9.68,4845000,9.68
2008-04-22,10.35,10.36,9.77,9.85,6262700,9.85
2008-04-21,10.49,10.65,10.26,10.38,6487100,10.38
2008-04-18,10.58,10.67,10.18,10.22,8009300,10.22
2008-04-17,9.73,10.65,9.68,10.23,11923000,10.23
2008-04-16,10.32,10.34,9.68,9.73,17273900,9.73
2008-04-15,12.20,12.24,10.10,10.11,53803000,10.11
2008-04-14,18.17,18.65,17.67,17.79,6226900,17.79
2008-04-11,18.00,18.31,17.56,17.95,3504400,17.95
2008-04-10,19.15,19.20,18.09,18.13,6771000,18.13
2008-04-09,20.43,20.98,19.01,19.19,9073800,19.19
2008-04-08,18.94,20.16,18.80,20.02,5238800,20.02
2008-04-07,19.06,19.73,18.94,19.17,7341700,19.17
2008-04-04,17.40,19.40,17.10,18.38,10494600,18.38
2008-04-03,15.88,17.22,15.50,17.16,9486400,17.16
2008-04-02,16.37,16.39,15.42,15.55,16016500,15.55
2008-04-01,17.93,18.25,17.26,17.33,3602200,17.33
2008-03-31,17.25,17.64,16.62,17.47,4741500,17.47
2008-03-28,18.48,18.60,17.10,17.18,3358100,17.18
2008-03-27,19.13,19.26,18.21,18.37,2988000,18.37
2008-03-26,18.50,19.10,18.20,18.88,2844200,18.88
2008-03-25,19.09,19.50,18.58,18.80,3042600,18.80
2008-03-24,18.12,19.39,18.08,18.85,4428000,18.85
2008-03-20,16.99,17.97,16.44,17.69,6735400,17.69
2008-03-19,18.15,18.29,16.14,16.44,7832400,16.44
2008-03-18,18.30,18.54,17.30,17.83,6843000,17.83
2008-03-17,18.70,20.35,17.02,17.65,8224900,17.65
2008-03-14,21.04,21.34,19.90,20.18,3648200,20.18
2008-03-13,20.25,21.07,19.76,20.88,6045400,20.88
2008-03-12,20.75,22.24,20.55,20.59,7738100,20.59
2008-03-11,19.40,20.88,18.90,20.78,9276400,20.78
2008-03-10,19.70,19.89,18.02,18.08,4059700,18.08
2008-03-07,19.21,20.25,19.02,19.58,5663700,19.58
2008-03-06,20.45,20.67,18.66,19.85,16132900,19.85
2008-03-05,22.52,22.95,20.35,20.46,9519500,20.46
2008-03-04,22.99,23.01,21.91,22.29,6047700,22.29
2008-03-03,24.21,24.29,22.75,23.00,6136800,23.00
2008-02-29,25.08,25.43,24.03,24.32,5281900,24.32
2008-02-28,24.70,25.53,24.64,25.13,4857200,25.13
2008-02-27,24.42,25.07,24.05,24.75,6169600,24.75
2008-02-26,24.78,25.70,24.45,24.53,6502800,24.53
2008-02-25,25.37,25.47,24.41,25.04,6934400,25.04
2008-02-22,26.49,26.49,24.81,25.43,8842700,25.43
2008-02-21,27.74,27.74,25.91,26.12,11784200,26.12
2008-02-20,28.00,28.60,26.35,27.44,25225200,27.44
2008-02-19,34.61,34.75,31.68,32.08,18236800,32.08
2008-02-15,32.82,33.53,31.79,33.43,4242200,33.43
2008-02-14,34.31,34.52,32.87,33.00,4987000,33.00
2008-02-13,32.44,33.66,31.68,33.58,4086300,33.58
2008-02-12,32.48,32.90,31.48,31.97,2745700,31.97
2008-02-11,32.10,32.72,31.33,32.00,3374200,32.00
2008-02-08,32.46,33.17,31.73,31.99,3365900,31.99
